"","Age","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","Gender"
"675",35,"Canada",NA,"No","Yes","No","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","No","No","Male"
"676",28,"United States","IL","No","No","Yes","Sometimes","26-100","Yes","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"677",22,"India",NA,"No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"678",29,"United States","OH","No","Yes","Yes","Rarely","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","No","No","No","No","No","Don't know","No","Female"
"679",29,"Germany",NA,"Yes","No","No","Never","1-5","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No","Male"
"680",45,"United States","VA","No","No","Yes","Often","1-5","Yes","Yes","Yes","Not sure","No","Yes","Don't know","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No","Male"
"681",33,"Bulgaria",NA,"No","No","Yes","Rarely","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes","Male"
"682",38,"United States","MN","No","No","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"683",19,"United States","MO","No","Yes","Yes","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","Maybe","No","No","Female"
"684",29,"Canada",NA,"No","No","Yes","Rarely","More than 1000","Yes","No","Yes","Yes","Yes","Don't know","Yes","Somewhat easy","No","No","No","Yes","No","Maybe","Don't know","No","Female"
"685",21,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","Don't know","No","Female"
"686",23,"India",NA,"No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No","Female"
"687",33,"United States","NC","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No","Female"
"688",49,"United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Not sure","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","No","Yes","No","Male"
"689",28,"United States","NM","No","No","No","Never","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","Male"
"690",27,"United Kingdom",NA,"No","No","Yes","Sometimes","6-25","Yes","Yes","Don't know","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Female"
"691",23,"Canada",NA,"No","No","Yes","Sometimes","6-25","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"692",29,"Netherlands",NA,"No","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","Maybe","Yes","No","Male"
"693",30,"Germany",NA,"No","No","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","No","Maybe","Maybe","Don't know","No","Male"
"694",28,"Canada",NA,"No","No","No","Never","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No","Female"
"695",32,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Yes","No","No","Male"
"696",32,"United Kingdom",NA,"No","No","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Yes","Very easy","No","No","No","Yes","No","No","Yes","No","Male"
"697",37,"France",NA,"No","No","No","Never","100-500","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No","Male"
"698",39,"United States","TX","No","No","No","Never","More than 1000","Yes","No","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","No","No","No","Maybe","No","No","Female"
"699",31,"France",NA,"No","No","No","Never","500-1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Yes","No","Male"
"700",29,"United States","SC","No","No","No","Never","6-25","No","Yes","No","No","No","Don't know","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Don't know","No","Male"
"701",30,"United States","FL","No","No","No","Never","100-500","No","No","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"702",33,"United States","WA","Yes","Yes","Yes","Rarely","1-5","Yes","Yes","No","Yes","Yes","Yes","No","Very difficult","No","No","Yes","Yes","No","No","Yes","Yes","Male"
"703",37,"United States","CA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Maybe","No","Yes","Yes","No","No","Don't know","No","Male"
"704",23,"United States","OH","No","No","Yes","Often","26-100","No","No","Yes","Yes","Yes","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"705",43,"United States","TN","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Not sure","No","Yes","Don't know","Somewhat easy","Yes","No","No","No","No","No","No","No","Male"
"706",32,"United Kingdom",NA,"No","No","Yes","Rarely","100-500","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","No","Maybe","No","Yes","Male"
"707",26,"United States","NY","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","No","No","Male"
"708",32,"United States","NY","Yes","No","Yes","Sometimes","1-5","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Don't know","No","Male"
"709",37,"United States","MO","No","No","No","Never","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","No","Don't know","No","Female"
"710",29,"United States","NY","No","No","Yes","Often","26-100","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"711",34,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Don't know","No","Male"
"712",27,"France",NA,"No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No","Male"
"713",30,"United States","TN","No","Yes","No","Never","100-500","No","Yes","Don't know","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"714",29,"United States","CO","No","No","No","Never","6-25","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","No","No","No","No","Male"
"715",32,"United States","PA","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","No","No","No","Male"
"717",25,"Germany",NA,"No","No","No","Never","500-1000","No","Yes","Yes","Yes","Don't know","Yes","Yes","Somewhat easy","Maybe","Maybe","Some of them","Yes","Yes","Yes","Yes","No","Male"
"718",37,"United States","NY","Yes","No","No","Never","6-25","Yes","Yes","Yes","Yes","Yes","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"719",29,"Netherlands",NA,"No","Yes","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"720",27,"United States","MN","No","No","No","Never","26-100","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No","Male"
"721",33,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No","Male"
"722",30,"Canada",NA,"No","Yes","Yes","Sometimes","More than 1000","No","No","Don't know","No","No","No","No","Very difficult","Yes","No","Some of them","No","No","Yes","No","Yes","Male"
"723",29,"Canada",NA,"No","No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Yes","Yes","No","Maybe","Don't know","No","Male"
"724",25,"United States","MO","No","Yes","Yes","Never","6-25","Yes","Yes","Don't know","No","Yes","Don't know","Don't know","Don't know","Yes","No","Some of them","Yes","No","No","No","No","Male"
"725",33,"United States","WY","No","Yes","Yes","Sometimes","1-5","No","No","No","Yes","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No","Male"
"726",31,"South Africa",NA,"No","No","No","Never","100-500","Yes","Yes","No","No","No","No","No","Don't know","No","No","Some of them","Some of them","No","Maybe","No","No","Male"
"727",21,"Germany",NA,"No","No","No","Rarely","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No","Male"
"728",30,"Switzerland",NA,"No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","No","Very difficult","Yes","Yes","No","No","No","No","No","No","Male"
"729",29,"United States","MN","No","No","No","Never","More than 1000","No","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","No","No","Male"
"730",43,"Croatia",NA,"Yes","No","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Very difficult","Yes","No","Yes","No","No","Maybe","No","Yes","Male"
"731",37,"United Kingdom",NA,"No","No","Yes","Often","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","Yes","Yes","Maybe","Yes","No","No","Male"
"732",24,"France",NA,"No","No","No","Never","26-100","No","Yes","No","No","Yes","No","Don't know","Don't know","Maybe","No","Yes","Some of them","No","No","Don't know","No","Male"
"733",29,"United States","MD","No","No","No","Never","6-25","Yes","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Yes","Yes","No","No","Don't know","No","Male"
"734",31,"United States","KY","No","No","No","Never","26-100","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Yes","Yes","No","No","Don't know","No","Male"
"736",33,"United Kingdom",NA,"Yes","No","No","Never","100-500","No","No","No","Not sure","No","No","Don't know","Very easy","No","No","Yes","Some of them","No","Yes","No","No","Male"
"737",43,"United States","NY","No","No","No","Never","More than 1000","No","No","Yes","Yes","Don't know","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"738",33,"United Kingdom",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Male"
"739",27,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","Yes","Yes","Don't know","Maybe","No","Yes","Some of them","No","Yes","Yes","No","Male"
"740",36,"United States","TN","No","Yes","Yes","Sometimes","More than 1000","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No","Male"
"741",37,"Australia",NA,"No","Yes","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","Yes","Male"
"742",32,"Belgium",NA,"No","No","No","Never","6-25","No","Yes","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","No","No","No","No","No","No","Male"
"743",39,"United Kingdom",NA,"No","No","Yes","Sometimes","100-500","No","Yes","No","No","No","No","Don't know","Very easy","No","No","No","Some of them","No","Yes","Yes","No","Male"
"744",31,"United States","TX","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","Maybe","Yes","Don't know","No","Male"
"745",36,"United States","OH","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"746",30,"United States","TX","Yes","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","Yes","Don't know","No","Male"
"747",28,"Canada",NA,"No","No","No","Never","6-25","No","Yes","Yes","Not sure","No","Don't know","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"748",32,"Italy",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","No","Somewhat difficult","Maybe","No","Some of them","No","Maybe","Maybe","No","No","Male"
"749",35,"United States","CA","No","Yes","Yes","Rarely","6-25","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No","Male"
"750",19,"Canada",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","No","No","Some of them","Yes","No","Yes","Don't know","No","Male"
"751",33,"Norway",NA,"No","Yes","No","Never","26-100","No","Yes","Yes","Yes","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"752",42,"Germany",NA,"No","No","No","Never","More than 1000","Yes","Yes","Don't know","Not sure","Yes","Yes","Yes","Very easy","No","No","Some of them","No","No","Maybe","Yes","No","Male"
"753",37,"United States","MI","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","Male"
"754",40,"Thailand",NA,"Yes","No","No","Never","6-25","No","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"755",36,"United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No","Male"
"756",29,"United States","OR","No","Yes","Yes","Sometimes","26-100","Yes","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No","Female"
"757",38,"United States","NC","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No","Female"
"758",26,"United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat difficult","Yes","Maybe","No","No","No","Maybe","No","No","Male"
"759",34,"Germany",NA,"No","No","No","Rarely","26-100","No","Yes","No","No","No","No","Yes","Somewhat easy","Maybe","Maybe","No","Some of them","Maybe","Maybe","Yes","No","Male"
"760",21,"United States","IL","No","No","Yes","Often","More than 1000","No","No","No","Yes","No","No","No","Don't know","Yes","No","Some of them","Some of them","No","Yes","No","Yes","Male"
"761",31,"Canada",NA,"Yes","Yes","No","Sometimes","1-5","Yes","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","No","No","No","No","Yes","No","Male"
"762",37,"United States","CA","No","Yes","Yes","Rarely","26-100","No","No","Yes","Yes","Yes","Yes","Don't know","Don't know","Maybe","Maybe","Yes","Some of them","No","Maybe","Yes","No","Female"
"763",37,"Ireland",NA,"No","Yes","Yes","Sometimes","1-5","No","Yes","No","No","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"764",38,"Ireland",NA,"No","Yes","Yes","Sometimes","1-5","No","Yes","No","No","No","No","No","Very difficult","Yes","Yes","No","No","No","No","No","No","Male"
"765",27,"United States","CA","No","No","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","Yes","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","No","No","Maybe","No","No","Female"
"766",39,"Netherlands",NA,"Yes","No","No","Never","6-25","No","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"767",33,"United States","AZ","Yes","Yes","Yes","Sometimes","1-5","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Yes","Some of them","No","No","No","No","No","Female"
"768",27,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","No","No","Some of them","No","Yes","Yes","Don't know","No","Male"
"769",36,"United States","CA","No","No","Yes","Never","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","No","No","Female"
"770",28,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Don't know","No","Male"
"771",39,"United Kingdom",NA,"No","No","Yes","Sometimes","500-1000","No","No","Don't know","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"772",33,"United States","VA","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","No","Yes","No","No","Yes","Very easy","Maybe","Maybe","Yes","Yes","No","No","Yes","No","Male"
"773",32,"United Kingdom",NA,"No","No","No","Never","More than 1000","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No","Male"
"774",28,"United Kingdom",NA,"No","No","No","Never","More than 1000","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","Yes","Yes","No","No","Male"
"775",37,"United Kingdom",NA,"No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","Yes","Somewhat easy","Yes","No","Some of them","Yes","No","Maybe","No","Yes","Male"
"776",39,"Canada",NA,"No","No","Yes","Sometimes","100-500","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","No","Some of them","Yes","No","Maybe","No","Yes","Male"
"777",43,"United States","VA","No","No","No","Sometimes","6-25","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","No","No","Male"
"778",32,"United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","No","Don't know","No","Yes","Yes","Don't know","Don't know","No","No","Yes","Some of them","Yes","Yes","Yes","Yes","Non-M/F"
"779",27,"United States","WA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","No","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","Female"
"780",31,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No","Female"
"781",43,"United Kingdom",NA,"No","No","Yes","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","Yes","Yes","Don't know","No","Male"
"782",33,"United States","WI","No","No","Yes","Sometimes","6-25","Yes","Yes","No","Yes","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","Don't know","No","Male"
"783",34,"United Kingdom",NA,"No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"784",33,"United States","CA","Yes","No","No","Never","1-5","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No","Male"
"785",25,"United States","CA","No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","Male"
"786",25,"United States","NE","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","No","No","No","Yes","Male"
"787",32,"United Kingdom",NA,"Yes","Yes","No","Never","1-5","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","No","Yes","No","Maybe","No","No","Male"
"788",25,"United States","CO","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No","Male"
"789",37,"Netherlands",NA,"No","No","No","Never","100-500","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Somewhat easy","Maybe","No","Yes","Yes","No","No","Don't know","No","Male"
"790",39,"Switzerland",NA,"No","No","Yes","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No","Male"
"791",29,"United Kingdom",NA,"No","No","No","Rarely","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Don't know","Yes","Male"
"792",33,"United States","NY","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"793",37,"United States","TX","No","No","Yes","Often","6-25","Yes","Yes","Don't know","Not sure","No","No","Yes","Somewhat difficult","Yes","No","Some of them","Some of them","No","Yes","No","Yes","Female"
"794",35,"United States","LA","No","No","Yes","Sometimes","100-500","No","No","Yes","No","No","No","Yes","Very difficult","Yes","Maybe","No","Some of them","No","Yes","No","Yes","Female"
"795",22,"United States","WA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very difficult","Yes","Maybe","Some of them","Some of them","No","Maybe","No","Yes","Female"
"796",38,"United States","MI","No","No","No","Never","26-100","No","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","Maybe","No","Yes","Male"
"797",32,"United States","CA","No","Yes","Yes","Often","100-500","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Yes","No","No","Don't know","No","Female"
"798",28,"Brazil",NA,"No","No","No","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","Maybe","Yes","No","Yes","Male"
"799",27,"Switzerland",NA,"No","Yes","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Yes","No","No","Male"
"800",35,"United States","CA","No","No","Yes","Sometimes","100-500","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","No","Maybe","Yes","No","Female"
"801",29,"United States","MD","No","No","No","Never","100-500","No","No","Yes","Yes","Yes","No","Yes","Very easy","Yes","Maybe","Yes","Yes","No","Maybe","Don't know","No","Male"
"802",23,"United States","CA","No","Yes","Yes","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"803",39,"United States","CT","No","No","No","Never","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No","Male"
"804",30,"United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","No","No","No","Yes","No","Female"
"805",32,"United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No","Male"
"806",28,"United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","Some of them","No","No","No","Yes","Female"
"807",40,"United States","WA","No","Yes","Yes","Sometimes","100-500","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","Yes","Female"
"808",36,"United States","CA","No","Yes","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Yes","No","Female"
"809",27,"United States","IN","No","No","No","Never","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Male"
"810",41,"United States","TX","No","Yes","No","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","No","Male"
"811",29,"United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","Male"
"812",29,"United Kingdom",NA,"No","No","Yes","Sometimes","100-500","No","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","No","No","Male"
"813",35,"United States","MO","No","No","Yes","Often","1-5","No","No","No","No","No","No","Yes","Very difficult","Yes","No","Some of them","Some of them","No","Yes","No","Yes","Male"
"814",28,"United States","NV","No","No","Yes","Never","6-25","Yes","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","Male"
"815",36,"United Kingdom",NA,"Yes","No","No","Sometimes","1-5","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","Female"
"816",39,"United States","WA","No","No","No","Sometimes","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Yes","Don't know","No","Female"
"817",39,"United States","FL","No","Yes","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very difficult","Maybe","No","Some of them","Yes","No","No","Don't know","No","Male"
"818",44,"United States",NA,"Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","No","Yes","No","No","No","Very easy","Yes","Yes","Some of them","No","No","No","Yes","No","Male"
"819",26,"Germany",NA,"Yes","No","Yes","Sometimes","6-25","Yes","Yes","No","Not sure","Yes","Yes","Yes","Very easy","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No","Non-M/F"
"820",35,"Denmark",NA,"Yes","Yes","Yes","Often","1-5","No","Yes","No","Yes","Yes","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No","Male"
"821",40,"United States","WA","No","Yes","Yes","Sometimes","100-500","No","No","Yes","Not sure","Yes","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","Don't know","No","Female"
"822",35,"Denmark",NA,"Yes","Yes","Yes","Often","1-5","No","Yes","No","Yes","Yes","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No","Male"
"823",38,"United States","IL","No","No","No","Never","More than 1000","Yes","Yes","No","Yes","No","No","No","Very difficult","Yes","Yes","No","No","No","No","Don't know","No","Male"
"824",34,"United States","FL","No","No","No","Never","More than 1000","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No","Male"
"825",43,"United States","MA","No","No","No","Never","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No","Male"
"826",48,"United States","CA","No","Yes","No","Often","26-100","No","Yes","Don't know","No","No","No","No","Very difficult","Yes","Yes","No","Some of them","No","No","No","Yes","Female"
"827",20,"United States","WA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","Male"
"828",40,"United States","MI","Yes","No","No","Sometimes","1-5","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","Yes","Maybe","Some of them","No","No","No","Don't know","No","Male"
